gene_id/transcript_id	SJINF053_211_withinKeepPairs
NDUFAF7-006	0.0
NDUFAF7-013	0.0
NDUFAF7-010	81.82
NDUFAF7-012	17.8
NDUFAF7-011	6.26
NDUFAF7-008	51.96
NDUFAF7-002	256.93
NDUFAF7-003	232.5
NDUFAF7-009	2.8
RBM5-001	4064.7
RBM5-014	672.98
RBM5-012	0.0
RBM5-009	19.28
RBM5-013	4.25
RBM5-008	3.45
RBM5-011	1.39
RBM5-007	9.12
RBM5-029	85.2
RBM5-027	0.0
RBM5-015	100.58
RBM5-004	3628.23
RBM5-025	39.26
RBM5-003	1874.33
RBM5-016	214.47
RBM5-020	3.32
RBM5-018	223.89
RBM5-021	919.1
RBM5-026	511.76
RBM5-024	53.49
RBM5-019	330.72
RBM5-023	13.44
RBM5-010	71.97
RBM5-022	23.56
RBM5-017	51.32
RBM5-005	868.11
MTMR7-001	83.82
MTMR7-006	0.0
MTMR7-005	0.0
MTMR7-008	0.0
MTMR7-003	0.0
MTMR7-009	0.0
MTMR7-007	0.0
MTMR7-002	20.0
MTMR7-004	0.0
SLC7A2-201	0.09
SLC7A2-202	0.91
SLC7A2-002	0.0
SLC7A2-001	0.0
SLC7A2-003	0.0
ARF5-001	483.13
ARF5-007	3.16
ARF5-004	4.17
ARF5-002	317.91
ARF5-006	10.61
ARF5-003	276.91
SARM1-002	9.57
SARM1-008	2.76
SARM1-007	0.0
SARM1-009	0.0
SARM1-006	1.6
SARM1-005	0.0
SARM1-003	47.07
SARM1-001	120.28
POLDIP2-001	1513.0
POLDIP2-002	0.0
PLXND1-001	4517.1
PLXND1-003	15.26
PLXND1-013	88.99
PLXND1-002	96.14
PLXND1-018	1.22
PLXND1-011	43.06
PLXND1-015	67.17
PLXND1-006	6.9
PLXND1-008	158.87
PLXND1-007	0.0
PLXND1-014	266.46
PLXND1-016	10.2
PLXND1-010	184.18
PLXND1-005	35.95
PLXND1-017	94.61
PLXND1-012	159.67
PLXND1-009	23.22
AK2-001	356.91
AK2-002	2797.2
AK2-008	0.0
AK2-003	283.4
AK2-006	22.11
AK2-009	0.0
AK2-004	54.42
AK2-007	14.65
AK2-005	18.1
AK2-010	153.66
AK2-013	0.0
AK2-011	100.88
AK2-012	8.9
AK2-201	0.0
AK2-202	70.65
CD38-001	12759.76
CD38-002	466.34
CD38-004	7.96
CD38-005	0.0
CD38-003	442.94
FKBP4-001	681.27
FKBP4-004	17.01
FKBP4-006	0.0
FKBP4-003	9.0
FKBP4-005	83.72
FKBP4-002	0.0
FKBP4-007	0.0
FKBP4-201	0.0
KDM1A-001	2337.63
KDM1A-002	955.37
KDM1A-005	5.67
KDM1A-003	0.0
KDM1A-004	9.6
KDM1A-006	566.73
RBM6-001	2715.66
RBM6-002	0.0
RBM6-019	8.32
RBM6-007	308.7
RBM6-005	789.58
RBM6-010	7.33
RBM6-008	39.32
RBM6-017	0.0
RBM6-004	48.53
RBM6-006	719.46
RBM6-009	38.91
RBM6-014	206.61
RBM6-003	1108.0
RBM6-023	0.0
RBM6-015	9.57
RBM6-020	96.09
RBM6-016	354.71
RBM6-021	2.32
RBM6-011	0.0
RBM6-013	7.45
CAMKK1-002	64.0
CAMKK1-003	150.43
CAMKK1-001	714.2
CAMKK1-004	281.38
RECQL-005	25.8
RECQL-007	44.14
RECQL-002	1338.07
RECQL-001	1666.23
RECQL-006	8.01
RECQL-008	24.67
RECQL-003	0.0
RECQL-004	5.37
CCDC132-001	6.08
CCDC132-019	1181.45
CCDC132-007	4.07
CCDC132-006	0.0
CCDC132-002	0.0
CCDC132-018	8.44
CCDC132-008	0.0
CCDC132-005	83.72
CCDC132-016	11.59
CCDC132-003	62.05
CCDC132-017	4.87
CCDC132-011	0.0
CCDC132-014	0.0
CCDC132-009	4.97
CCDC132-015	17.62
CCDC132-012	0.0
CCDC132-013	2.38
CCDC132-010	1.64
CCDC132-004	6.42
CCDC132-201	137.71
HSPB6-201	0.0
HSPB6-003	1.0
HSPB6-001	0.0
ARHGAP33-201	507.8
ARHGAP33-010	0.0
ARHGAP33-002	585.81
ARHGAP33-001	1139.06
ARHGAP33-013	6.13
ARHGAP33-009	0.0
ARHGAP33-012	57.25
ARHGAP33-003	65.4
ARHGAP33-004	0.0
ARHGAP33-006	18.16
ARHGAP33-007	83.03
ARHGAP33-011	109.6
ARHGAP33-015	92.77
NDUFAB1-001	156.64
NDUFAB1-002	0.0
NDUFAB1-004	0.0
NDUFAB1-003	14.21
NDUFAB1-005	11.15
PDK4-001	11.65
PDK4-005	0.0
PDK4-003	0.0
PDK4-002	6.35
PDK4-004	0.0
SLC22A16-201	10.75
SLC22A16-001	249.3
SLC22A16-006	0.0
SLC22A16-004	63.66
SLC22A16-005	71.72
SLC22A16-002	64.88
SLC22A16-003	0.0
SLC22A16-007	80.68
ZMYND10-001	66.58
ZMYND10-002	0.0
ZMYND10-006	3.21
ZMYND10-003	34.91
ZMYND10-007	0.0
ZMYND10-008	0.0
ZMYND10-005	19.7
ZMYND10-009	3.6
ZMYND10-010	0.0
ABCB5-001	0.0
ABCB5-004	0.0
ABCB5-002	0.0
ABCB5-007	0.0
