gene_id	test_unc_SRR1559191
AKR1C2	282.0354
AKR1C3	35.1616
AKR1C4	0.0000
AKR1CL1	0.7429
AKR1D1	0.0000
AKR1E2	67.8470
AKR7A2	658.4128
AKR7A3	74.2850
AKR7L	65.3708
AKT1S1	897.8581
AKT1	1651.6033
AKT2	1198.7124
AKT3	2259.7499
AKTIP	462.5480
ALAD	678.7173
ALAS1	560.3566
ALAS2	0.0000
ALB	61.4089
ALCAM	2356.3204
ALDH16A1	213.4456
ALDH18A1	542.7758
ALDH1A1	156.4937
ALDH1A2	29.4664
ALDH1A3	85.6754
ALDH1B1	169.8650
ALDH1L1	5.6952
ALDH1L2	103.9990
ALDH2	2013.1237
ALDH3A1	10.3999
ALDH3A2	610.6228
ALDH3B1	42.8377
ALDH3B2	0.0000
ALDH4A1	135.4463
ALDH5A1	172.0936
ALDH6A1	33.1806
ALDH7A1	387.2725
ALDH8A1	36.8949
ALDH9A1	544.5091
ALDOA	9779.1259
ALDOB	7.1809
ALDOC	987.0001
ALG10B	70.3231
ALG10	59.4280
ALG11	16.5903
ALG12	242.6644
ALG13	350.8728
ALG14	351.1205
ALG1L2	0.0000
ALG1L	56.9518
ALG1	154.5128
ALG2	366.4727
ALG3	649.4986
ALG5	847.3443
ALG6	172.8364
ALG8	376.1298
ALG9	135.6939
ALKBH1	192.3982
ALKBH2	1516.4046
ALKBH3	583.6325
ALKBH4	1127.3988
ALKBH5	1581.5278
ALKBH6	564.5661
ALKBH7	1056.3328
ALKBH8	102.2657
ALK	553.4233
ALLC	25.0093
ALMS1P	11.6380
ALMS1	104.9895
ALOX12B	0.0000
ALOX12P2	0.0000
ALOX12	8.6666
ALOX15B	2.4762
ALOX15	0.0000
ALOX5AP	81.9611
ALOX5	90.3801
ALOXE3	0.0000
ALPI	0.0000
ALPK1	38.1330
ALPK2	5.4476
ALPK3	505.1380
ALPL	49.2757
ALPPL2	0.0000
ALPP	0.0000
ALS2CL	737.6501
ALS2CR11	63.1423
ALS2CR12	4.7047
ALS2CR4	636.1273
ALS2CR8	90.1325
ALS2	421.6912
ALX1	12.1332
ALX3	401.6343
ALX4	0.0000
AMAC1L2	24.0188
AMAC1L3	1.2381
AMAC1	0.0000
AMACR	185.2173
AMBN	0.0000
AMBP	0.0000
AMBRA1	635.6320
AMD1	630.9273
AMDHD1	53.2376
AMDHD2	228.7978
AMELX	0.0000
AMELY	0.0000
AMFR	1223.7217
AMHR2	13.8665
AMH	109.6942
AMICA1	83.4468
AMIGO1	62.3994
AMIGO2	29.4664
AMIGO3	170.1127
AMMECR1L	376.6250
AMMECR1	105.4847
AMN1	597.2515
AMN	0.0000
AMOTL1	148.0748
AMOTL2	232.5121
AMOT	147.8272
AMPD1	0.7429
AMPD2	2150.7986
AMPD3	253.0643
AMPH	250.3405
AMTN	0.0000
AMT	1324.9969
AMY1A	0.0000
AMY2A	1.9809
AMY2B	401.1390
AMZ1	2.4762
AMZ2P1	557.1376
AMZ2	2532.6235
ANAPC10	289.9591
ANAPC11	4686.3935
ANAPC13	2762.9070
ANAPC16	743.0977
ANAPC1	108.9513
ANAPC2	749.7833
ANAPC4	761.1737
ANAPC5	3629.5654
ANAPC7	1585.9849
ANGEL1	135.1987
ANGEL2	583.1373
ANGPT1	20.5522
ANGPT2	102.0181
ANGPT4	0.0000
ANGPTL1	7.9237
ANGPTL2	435.8054
ANGPTL3	0.7429
ANGPTL4	32.4378
ANGPTL5	0.0000
ANGPTL6	2.2286
ANGPTL7	29.2188
ANG	43.3329
ANK1	96.5705
ANK2	2537.5758
ANK3	890.9248
ANKAR	20.5522
ANKDD1A	374.1488
ANKFN1	30.4569
ANKFY1	513.0618
ANKHD1-EIF4EBP3	109.6942
ANKHD1	709.1742
ANKH	510.3380
ANKIB1	1207.1314
ANKK1	3.4666
ANKLE1	102.5133
ANKLE2	1871.9822
ANKMY1	151.5414
ANKMY2	344.6824
ANKRA2	362.2632
ANKRD10	3465.1480
ANKRD11	646.2796
ANKRD12	239.6930
ANKRD13A	1123.6845
ANKRD13B	1971.5241
ANKRD13C	274.6069
ANKRD13D	2028.7235
ANKRD16	160.9508
ANKRD17	453.3862
ANKRD19	186.2078
ANKRD1	18.3236
ANKRD20A3	28.2283
ANKRD20A4	12.3808
ANKRD20B	43.5805
ANKRD22	7.4285
ANKRD23	65.6184
ANKRD24	19.8093
ANKRD26P1	252.8166
ANKRD26	114.8941
ANKRD27	297.8829
ANKRD28	659.1556
ANKRD29	45.0662
ANKRD2	62.1518
ANKRD30A	0.2476
ANKRD30B	0.0000
ANKRD31	0.7429
ANKRD32	298.1305
ANKRD33	19.3141
ANKRD34A	97.0657
ANKRD34B	0.0000
ANKRD34C	0.4952
ANKRD35	6.9333
ANKRD36BP1	16.3427
ANKRD36B	423.1769
ANKRD36	387.2725
ANKRD37	105.2371
ANKRD39	415.0056
ANKRD40	1029.8378
ANKRD42	113.4084
ANKRD43	29.9616
ANKRD44	25.9998
ANKRD45	0.0000
ANKRD46	912.2199
ANKRD49	219.1408
ANKRD50	182.9887
ANKRD52	360.5299
ANKRD53	13.8665
ANKRD54	823.3255
ANKRD55	0.9905
ANKRD56	0.0000
ANKRD57	49.7710
ANKRD58	15.3522
ANKRD5	29.7140
ANKRD6	93.5991
ANKRD7	28.9712
ANKRD9	23.0284
ANKS1A	593.7848
ANKS1B	37.8854
ANKS3	1514.1761
ANKS4B	0.0000
ANKS6	245.3881
ANKZF1	1715.4884
ANLN	146.3415
ANO10	415.0056
ANO1	338.7396
ANO2	5.4476
ANO3	40.8568
ANO4	10.8951
ANO5	94.5896
ANO6	938.7149
ANO7	3.4666
ANO8	306.3018
ANO9	46.0567
ANP32A	1685.2792
ANP32B	2591.5563
ANP32C	267.6736
ANP32D	49.0281
ANP32E	737.4025
ANPEP	34.9140
ANTXR1	181.9983
ANTXR2	60.4185
ANTXRL	0.7429
ANUBL1	98.0562
ANXA10	0.0000
ANXA11	253.5595
ANXA13	0.9905
ANXA1	880.7726
ANXA2P1	46.7996
ANXA2P2	2139.4082
ANXA2P3	8.1714
ANXA2	1621.8893
ANXA3	9.4094
ANXA4	179.2745
ANXA5	2617.8036
ANXA6	1356.1966
ANXA7	925.0960
ANXA8L1	0.0000
ANXA8L2	0.7429
ANXA8	0.0000
ANXA9	32.1902
AOAH	71.3136
AOC2	60.6661
AOC3	138.9130
AOX1	9.9047
AOX2P	0.0000
AP1AR	351.1205
AP1B1	1688.7458
AP1G1	666.8317
AP1G2	4730.2216
AP1M1	2234.7406
AP1M2	0.9905
AP1S1	4432.8340
AP1S2	710.1647
AP1S3	29.4664
AP2A1	1174.1983
AP2A2	1989.3525
AP2B1	2143.3701
AP2M1	7075.1517
AP2S1	1663.9842
AP3B1	152.5319
AP3B2	2687.8792
AP3D1	2713.6313
AP3M1	533.6140
AP3M2	497.7095
AP3S1	1730.8407
AP3S2	601.9562
AP4B1	860.9632
AP4E1	186.9506
AP4M1	1382.6916
AP4S1	224.0931
APAF1	255.0452
APBA1	761.9166
APBA2	1793.7353
APBA3	222.1122
APBB1IP	75.0279
APBB1	7453.7576
APBB2	164.9127
APBB3	1673.6412
APC2	709.6694
APCDD1L	14.3618
APCDD1	140.8939
APCS	0.0000
APC	210.9694
APEH	858.7347
APEX1	4560.1090
APEX2	449.4243
APH1A	3153.8938
APH1B	288.4734
API5	1389.3772
APIP	1035.0378
APITD1	370.9298
APLF	47.7900
APLNR	414.0151
APLN	61.9042
APLP1	4703.2314
APLP2	2531.3854
APOA1BP	1829.3921
APOA1	11.3904
APOA2	10.1523
APOA4	0.0000
APOA5	0.0000
APOB48R	39.6187
APOBEC1	0.0000
APOBEC2	19.0665
APOBEC3A	7.1809
APOBEC3B	25.7521
APOBEC3C	51.2567
APOBEC3D	23.2760
APOBEC3F	70.0755
APOBEC3G	142.6272
APOBEC3H	31.4473
APOBEC4	0.0000
APOB	2.4762
APOC1P1	0.0000
APOC1	4874.3345
APOC2	374.6441
APOC3	0.0000
APOC4	3.2190
APOD	102.7609
APOE	7797.6972
APOF	0.9905
APOH	1.2381
APOL1	215.4265
APOL2	409.0628
APOL3	286.7401
APOL4	101.0276
APOL5	4.4571
APOL6	43.5805
APOLD1	182.9887
APOM	135.6939
APOOL	29.9616
APOO	406.5866
APPBP2	640.8320
APPL1	316.7017
APPL2	1075.1517
APP	5506.2523
APRT	1256.9023
APTX	465.7670
AQP10	3.4666
AQP11	37.6377
AQP12A	0.2476
AQP12B	0.2476
AQP1	1353.4728
AQP2	1.4857
AQP3	32.6854
AQP4	23.5236
AQP5	25.0093
AQP6	2.4762
AQP7P1	37.3901
AQP7P3	5.9428
AQP7	5.9428
AQP8	16.8379
AQP9	3.2190
AQPEP	1.7333
AQR	151.0462
ARAF	575.2136
ARAP1	535.5949
ARAP2	7.9237
ARAP3	638.1082
ARCN1	1403.7390
ARC	421.6912
AREG	0.0000
ARF1	10491.5191
ARF3	2150.7986
ARF4	3298.2543
ARF5	15171.7222
ARF6	712.1456
ARFGAP1	2897.6105
ARFGAP2	3155.3795
ARFGAP3	645.0415
ARFGEF1	964.7146
ARFGEF2	421.9388
ARFIP1	516.0332
ARFIP2	2131.2368
ARFRP1	995.9143
ARG1	0.0000
ARG2	385.5392
ARGFXP2	2.7238
ARGFX	0.0000
ARGLU1	5548.5948
ARHGAP10	56.4566
ARHGAP11A	143.8653
ARHGAP11B	8.4190
ARHGAP12	488.7953
ARHGAP15	179.5221
ARHGAP17	1116.9989
ARHGAP18	84.6849
ARHGAP19	200.3219
ARHGAP1	1904.4200
ARHGAP20	8.4190
ARHGAP21	914.9437
ARHGAP22	319.4255
ARHGAP23	1679.8316
ARHGAP24	33.4283
ARHGAP25	277.0831
ARHGAP26	215.9218
ARHGAP27	316.7017
ARHGAP28	55.7138
ARHGAP29	148.8176
ARHGAP30	150.5509
ARHGAP31	31.4473
ARHGAP32	97.5610
ARHGAP33	907.2675
ARHGAP36	22499.9381
ARHGAP39	242.4167
ARHGAP42	14.8570
ARHGAP4	936.9816
ARHGAP5	240.4358
ARHGAP6	22.7807
ARHGAP8	83.6944
ARHGAP9	140.6463
ARHGDIA	16792.6210
ARHGDIB	2389.0058
ARHGDIG	34.1711
ARHGEF10L	1336.1397
ARHGEF10	160.9508
ARHGEF11	1018.4474
ARHGEF12	392.2248
ARHGEF15	113.6561
ARHGEF16	2.4762
ARHGEF17	288.2258
ARHGEF18	336.7587
ARHGEF19	360.0347
ARHGEF1	2495.2334
ARHGEF2	803.0209
ARHGEF33	72.7993
ARHGEF35	140.6463
ARHGEF37	61.4089
ARHGEF38	0.0000
ARHGEF3	271.1403
ARHGEF4	276.0926
ARHGEF5	167.1413
ARHGEF6	64.8756
ARHGEF7	1202.1790
ARHGEF9	529.8997
ARID1A	1627.5845
ARID1B	349.3871
ARID2	207.5028
ARID3A	7.1809
ARID3B	505.1380
ARID3C	0.0000
ARID4A	257.7690
ARID4B	535.8425
ARID5A	160.7032
ARID5B	97.0657
ARIH1	565.8041
ARIH2	1537.6996
ARL10	72.7993
ARL11	10.8951
ARL13A	0.0000
ARL13B	87.1611
ARL14	0.0000
ARL15	125.7893
ARL16	2992.9429
ARL17A	1188.3125
ARL17B	21.0474
ARL1	751.7643
ARL2BP	1586.9754
ARL2	3002.3524
ARL3	693.8220
ARL4A	143.1224
ARL4C	684.9078
ARL4D	526.1855
ARL5A	354.0919
ARL5B	68.5898
ARL5C	0.0000
ARL6IP1	5173.2079
ARL6IP4	9612.9751
ARL6IP5	1861.3347
ARL6IP6	619.5370
ARL6	159.2175
ARL8A	2283.2735
ARL8B	1092.7325
ARL9	135.9416
ARMC10	832.7349
ARMC1	482.1097
ARMC2	27.9807
ARMC3	0.7429
ARMC4	0.0000
ARMC5	383.3106
ARMC6	850.5633
ARMC7	771.8212
ARMC8	461.0623
ARMC9	160.4556
ARMCX1	1310.8828
ARMCX2	1030.3330
ARMCX3	1354.7109
ARMCX5	171.3507
ARMCX6	768.1070
ARMS2	0.0000
ARNT2	445.2148
ARNTL2	36.3997
ARNTL	84.1897
ARNT	584.6230
ARPC1A	4520.9855
ARPC1B	1989.3525
ARPC2	4849.0776
ARPC3	7936.6101
ARPC4	4296.6448
ARPC5L	2359.5394
ARPC5	2849.3252
ARPM1	16.3427
ARPP19	1850.6871
ARPP21	267.6736
ARR3	0.0000
ARRB1	246.8738
ARRB2	1669.1841
ARRDC1	657.4223
ARRDC2	140.8939
ARRDC3	513.8046
ARRDC4	661.1366
ARRDC5	0.0000
ARSA	589.5753
ARSB	114.8941
ARSD	459.0813
ARSE	7.9237
ARSF	19.3141
ARSG	13.6189
ARSH	0.0000
ARSI	10.1523
ARSJ	2.9714
ARSK	67.8470
ART1	1.4857
ART3	6.6857
ART4	17.0856
ART5	6.6857
ARTN	56.4566
ARV1	788.6592
ARVCF	3103.3800
ARX	4.9523
AR	0.0000
AS3MT	224.3407
ASAH1	2112.9132
ASAH2B	24.2664
